,2,3,4,5
Prosumer SH 1,1.0,0.0,0.0,0.0
Prosumer SH 2,2.0,0.9999999999999999,2.0,1.0
Prosumer SH 3,2.0,1.0,1.0,0.0
Prosumer SH 4,0.0,1.0,5.0,6.0
Prosumer SH 5,0.0,0.0,0.0,0.0
Prosumer SH 6,0.0,0.0,0.0,0.0
Prosumer SH 7,1.0,1.0,2.0,1.0
Prosumer SH 8,0.0,0.0,0.0,0.0
Prosumer SH 9,0.0,3.0,2.0,1.0
Prosumer SH 10,0.0,0.0,0.0,0.0
Prosumer SAB 1,0.0,0.0,0.0,0.0
Prosumer SAB 2,0.0,0.0,0.0,0.0
Prosumer SAB 3,0.0,0.0,0.0,0.0
Prosumer SAB 4,0.0,0.0,0.0,0.0
Prosumer SAB 5,2.0,1.0,2.0,1.0
Prosumer SAB 6,0.0,0.0,0.0,0.0
Prosumer SAB 7,0.0,0.0,0.0,0.0
Prosumer SAB 8,5.0,9.0,8.0,7.0
Prosumer SME 1,2.0,1.0,2.0,1.0
Prosumer SME 2,2.0,1.0,1.0,0.0
