,2,3,4,5
Prosumer SH 1,1.0,0.0,0.0,0.0
Prosumer SH 2,2.0,1.0,0.0,0.0
Prosumer SH 3,2.0,1.0,0.0,0.0
Prosumer SH 4,0.0,0.0,0.0,0.0
Prosumer SH 5,1.0,0.0,0.0,0.0
Prosumer SH 6,0.0,4.5441237764499826e-08,0.0,0.0
Prosumer SH 7,1.0,0.0,0.0,0.0
Prosumer SH 8,0.0,0.0,0.0,0.0
Prosumer SH 9,0.0,0.0,0.0,0.0
Prosumer SH 10,0.0,0.0,0.0,0.0
Prosumer SAB 1,0.0,0.0,0.0,0.0
Prosumer SAB 2,0.0,0.0,0.0,0.0
Prosumer SAB 3,0.0,0.0,0.0,0.0
Prosumer SAB 4,0.0,0.0,0.0,0.0
Prosumer SAB 5,2.0,0.0,0.0,0.0
Prosumer SAB 6,0.0,0.0,0.0,0.0
Prosumer SAB 7,0.0,0.0,0.0,0.0
Prosumer SAB 8,0.0,0.0,0.0,0.0
Prosumer SME 1,1.0,0.0,0.0,0.0
Prosumer SME 2,2.0,0.0,0.0,0.0
